	HvsL	HvsL	HvsL	HvsL	HvsL
	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene					
A1BG	P2	0.035066681	-0.254230288	5	5
A1CF	P1P2	0.120636909	-0.14373632	5	5
A2M	P1P2	0.525496456	-0.099464644	5	5
A2ML1	P1P2	0.588556208	0.048874244	5	5
A3GALT2	ENST00000442999.3	0.111677491	-0.385460341	4	4
A4GALT	P1P2	0.243844721	-0.261723542	5	5
A4GNT	P1P2	0.87872069	0.340487107	5	5
AAAS	P1P2	0.4711887	0.118506514	5	5
AACS	P1P2	0.897114335	-0.148207463	5	5
AADAC	P1P2	0.230647334	0.111371338	5	5
AADACL2	P1P2	0.971144544	-0.39693575	5	5
AADACL3	P1P2	0.105169205	-0.241061888	5	5
AADACL4	P1P2	0.409660489	-0.120080634	5	5
AADAT	P1P2	0.996350826	0.010145058	5	5
AAED1	P1P2	0.605866514	0.552272322	5	5
AAGAB	P1P2	0.473661093	0.063496755	4	4
AAK1	P1P2	0.444993947	-0.233449554	5	5
AAMDC	P1P2	0.262135513	0.321044697	5	5
AAMP	P1P2	0.028772782	0.690038105	5	5
AANAT	P1P2	0.612270235	-0.257195597	5	5
AAR2	P1P2	0.398418734	0.212071108	5	5
AARD	P1P2	0.618117633	0.116493278	5	5
AARS	P1P2	0.000508318	0.453252858	5	5
AARS2	P1P2	0.882000766	-0.067235301	5	5
AARSD1	P1	0.420129306	-0.156592485	5	5
AASDH	P1P2	0.321375754	0.105929419	5	5
AASDHPPT	P1P2	0.91556344	0.001308432	5	5
AASS	P1P2	0.14664427	-0.133549603	5	5
AATF	P1P2	0.011006475	0.369185061	5	5
AATK	ENST00000326724.4	0.681531166	-0.066040126	5	5
ABAT	P2	0.420608866	-0.147894717	5	5
ABCA1	P1P2	0.126928333	-0.378905468	5	5
ABCA10	P1P2	0.338294382	0.103444187	5	5
ABCA12	P1P2	0.432701979	-0.230147019	5	5
ABCA13	P1P2	0.034071086	-0.341201292	5	5
ABCA2	P1P2	0.776427571	0.102521536	5	5
ABCA3	P1P2	0.490856593	0.033767766	5	5
ABCA4	P1P2	0.118856839	0.232386054	5	5
ABCA5	P1P2	0.539694434	0.181794758	5	5
ABCA6	P1P2	0.91556344	0.02193138	5	5
ABCA7	P2	0.574874653	0.074127628	5	5
ABCA8	P1P2	0.356207738	-0.096348888	5	5
ABCA9	P1P2	0.680311767	0.005944143	5	5
